vassdragNr,vatnLnr,"Land principally occupied by agriculture, with significant areas of natural vegetation",Broad-leaved forest,Moors and heathland,Sparsely vegetated areas,Peat bogs,Water bodies,Discontinuous urban fabric,Non-irrigated arable land,Coniferous forest,Transitional woodland-shrub,Complex cultivation patterns,Water courses,Mixed forest,Industrial or commercial units,Green urban areas,Sport and leisure facilities,Continuous urban fabric,Road and rail networks and associated land,Airports,Pastures,Bare rocks,Mineral extraction sites,Inland marshes,Glaciers and perpetual snow,Sea and ocean,Port areas,Natural grasslands,Intertidal flats,mean_ndsi,fractional_snow_cover,mean_ndvi,total_road_length,road_density,total_ditch_length,ditch_density,unbuilt,res_built,nres_built,total_population,population_density,gHM
002.S2,114,1.5601031273639787,27.58334187114132,40.32409051292811,21.459558157910617,8.722037509280481,0.35086882137548997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6460707422418268,0.9939496605368208,0.7241139309164957,30727.50896439169,4.3127386343345985e-4,10361.61560662196,1.4542975153823218e-4,0.999847,1.66e-4,0,6.045522,0.08537154540815284,0.14326062716170168
002.S9,114,33.50167989482398,47.88021619515995,16.920679748746164,0.6224862443394849,0,1.0749379169304183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5109754628463158,0.7442426867731269,0.7956585692362934,14657.13814380398,0.00195295517655259,5228.021974810098,6.965952342580746e-4,0.995578,0.004227,3.07e-4,15.61957416078432,2.0935818252450504,0.41264770732667566
002.DC75,118,2.1440465149074424,0,0,0,1.2655641794714645,0.4541567455474741,0.4172745894600199,73.7102545049565,19.811684050094648,2.197019415562462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5258651757161376,0.7161631360143513,0.6992444427295047,139325.63130624162,0.0035247878812594,39996.27121457285,0.00101186243156376,0.984027,0.015276,7.03e-4,1022.1437838666644,26.0200757156974,0.6438871729245406
002.DD61,118,0.9934893229340266,0,0,0,24.074395040330646,0.18643201564340156,0.9977112636935316,4.369930893495989,43.8899628913628,25.488078572539607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3319795237401175,0.2969633286749251,0.8085511815463662,37827.68260622925,0.00194032254804014,42942.83177679736,0.00220269757575616,0.991789,0.007942,3.3e-4,318.5863254823526,16.448527769148924,0.3555310746785835
002.DD51,118,10.341958663561105,0.8312026733487304,0,0,2.3752852598881917,0.4732910406319966,14.41967886064797,8.822207788894929,47.80553467955724,13.61221922872398,1.318621804745861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3641692183351002,0.4132074707755763,0.7578090226290096,161108.8197881394,0.00505489411323273,41397.93687732175,0.00129888722229072,0.869736,0.124255,0.005935,9879.556129200571,311.9801287853468,0.5064600275172108
002.JC2,161,0,0,2.2986418148486587,8.640906743250223,0,1.7367515934412086,0,0,67.30962421463072,19.22146988211657,0,0.79260575171263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3802444045031643,0.3936734045149321,0.7128115363376302,39987.07781311046,0.00204223618211089,8145.498643542674,4.1601019531674663e-4,0.998477,0.0015,6.7e-5,11.580862666666665,0.594975614516983,0.18834273704261656
002.DC12,118,4.14286010377013,0,0,0,0.01088135522961386,0.7366504770524309,0,0,70.21911249594109,21.31052969746378,0,0,3.5799658705429622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2500410612092978,0.09301577787848672,0.7517177544019884,54166.837788158155,0.00303977196022963,24088.603849499163,0.0013518208840095,0.99725,0.002655,3.9e-5,28.119336,1.5873788663415993,0.38562548561644866
002.MBBA,243,7.267880390981794,0,39.899464776508026,51.033766609493505,1.7857142857142856,0.01317393730239094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6246008717430973,0.991971491187353,0.6315114479810763,3133.221768913407,6.469278757887154e-4,416.8815562041744,8.607507527441605e-5,0.999973,0,0,0,0,0.1120140429370193
002.EC1,120,20.413576059517588,0,0,0,0,0.0211291883055503,22.80256441622277,0.01723696940715946,56.74549336654694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30210258335775686,0.2886477810117727,0.7371117771863258,12206.37419901555,0.00441809792055849,1421.7563335598086,5.146047956933893e-4,0.893668,0.09475,0.011039,699.3564596117643,254.6055240256006,0.4818756701909373
002.DD1A1,118,0,0,0,0,0,0,13.128179839387457,0,72.85573769622542,7.015199599131451,0,0,0,5.677910605253181,1.3229722600024922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31857085344427477,0.3007553197992432,0.7273540874158338,16986.497554262518,0.00425370162654327,1514.0655040072454,3.791471947948779e-4,0.875286,0.113031,0.011753,311.7288163333329,78.55728746010215,0.5190426165146594
002.JD32,125,10.288976097038889,0,0,0,0,0.5886550124866214,0,0,74.29872755381139,14.8236413366631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3650587894077746,0.3368657783458827,0.6692357948123447,34811.75806806999,0.00327826947067391,10275.10499689407,9.676202779940302e-4,0.962216,0.037639,1.79e-4,97.77201952941148,9.263772928556206,0.21514976866688312
002.DD2A1,118,9.519299438221555,0,0,0,0,0,4.7791267419523615,0,4.996811114887702,44.65202962035082,36.052733084587565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5060572698390817,0.7128959721760084,0.7581245845146322,4980.842346990774,0.00501797606165044,502.7060846250329,5.064539134065287e-4,0.979682,0.019199,0.001726,81.04752239999998,82.16042285061992,0.6482137390169274
002.S5,114,4.444050459459946,70.27603656447765,3.7045272881345745,4.354502346881742,15.380038583817637,0.9177179054155572,0,0.9231268518128986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5148620455439736,0.8717588764556808,0.8041939348961302,17424.19465589663,0.00115200472808305,16123.646102935843,0.00106601865459727,0.999508,4.27e-4,0,1.3632059411764708,0.0906709959109072,0.16081254656251884
002.FG,124,0.556584490485284,0,0,0,3.0514264876639765,0.7521567649006305,0,0,90.02946059285844,4.838254627808112,0,0,0,0,0,0.772117036283551,0,0,0,0,0,0,0,0,0,0,0,0,0.2893765620914626,0.21986787972555585,0.7901032750494961,108586.7706157856,0.00208453484015081,39802.5786290122,7.640881242669234e-4,0.998656,9.8e-4,3.5e-4,17.265897,0.3332506321374047,0.13773940767189147
002.JD3A0,125,0,0,0,3.772902793132175,0,0.00261970753585069,0,0,76.64687914241254,19.577598356919435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3677056578685034,0.3265793684698167,0.6435589246693725,6562.079841505875,9.831830853516783e-4,1577.154779086385,2.3630189501373932e-4,0.998613,0.001358,0,0,0,0.06787197840576235
002.DC53,118,0,0,0,0,0,3.047320339531526,76.79710253155105,0.28526622358300346,5.370273566823489,0,0,0,0,0,0,0,5.712792173848107,8.187339755557215,0.5999054091056182,0,0,0,0,0,0,0,0,0,0.3835532708271577,0.4505215565041491,0.5019924914397126,96624.8320031274,0.01623072093365363,1087.64480600796,1.826989910904235e-4,0.256826,0.685483,0.057873,18163.55198947019,3069.6210576830035,0.6596824535645652
002.JD31,125,0,0,0.9903212117255336,0.2815499118626363,0.8807615721094209,0.3566298883593393,0,0,94.95393190572568,2.5368055102174054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31748055831161337,0.22972902148134283,0.7393032064907646,45109.09010100461,0.0011962821123947,4207.959822803099,1.1159407237927896e-4,0.998594,0.00137,0,10.01682,0.26726070992116996,0.06247903856336526
002.B8,113,0,0,0,0,5.700772117205068,3.90569644333972,0,33.23498654661524,53.98281703168893,3.122871209756609,0,0.05285665139443592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262063798306128,0.00374292923465216,0.7277174811484826,20244.35344551112,0.00157683064242685,29506.500724978105,0.00229825835728294,0.989919,0.009805,2.17e-4,66.29130474509803,5.19371849074879,0.5003435033152378
002.DD11,118,0.5689432025286365,0,0,0,0,0.39391084619515937,0,65.65562295846944,23.325614770336063,7.626233722783262,0,0,1.599943651555305,0,0,0,0,0,0,0.8297308481321372,0,0,0,0,0,0,0,0,0.5045190692055749,0.6694525381113559,0.7177454503036931,102919.71811235716,0.0027897282032805,34512.25968695971,9.354847251188908e-4,0.986462,0.013282,2.73e-4,253.5737679999997,6.916467490834576,0.6404487878273296
002.C12,113,6.08854016801297,5.58937882924296,0,0,0,0.935686263501042,2.0413856508221686,59.44844865217666,24.621725185803815,0,0,0,1.274835250440385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00354258633999488,0.00109492169887641,0.7352449856178853,58377.67007456915,0.00292844249157829,11259.210349530527,5.648041445824465e-4,0.965723,0.03419,3.3e-5,579.6235387411768,29.24561713513065,0.6045573781725243
002.R54,114,0,0.29145113743812223,0,0,99.70854886256188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5162445333885818,0.8989985489253403,0.7022522831608183,752.4766379568845,0.00926242064410673,26.66983202439973,3.282855443703663e-4,0.998288,0,0,1.007587,12.491080015865109,0.3098846796231392
002.DC31,118,8.953908110895563,0,0,0,0,0.7042703140731281,0,0,46.945460796110304,43.396360778921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24995589116762892,0.15333836346535148,0.7965676317188586,36301.83310188415,0.00245078398749224,11594.259235972417,7.827435270997493e-4,0.997176,0.001952,8.96e-4,42.17900399999999,2.8646310654853004,0.3589620643563903
002.DC74,118,0,1.9082313346111472,0,0,0,1.4814968532576709,0,84.69962571122413,11.910646100907046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4574085695607784,0.6614706905557167,0.6963259397794125,66346.27020602245,0.00361581492534234,6001.126564619785,3.27056260040538e-4,0.985337,0.014239,5.08e-4,538.844256999999,29.546544095696525,0.6145900229882214
002.MBDA,244,0,0,43.9300343438723,40.53626644455347,14.084182421870542,1.0086373127346169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4408794769690677,0,0,0,0,0,0,0,0.6323743119695858,0.9774557794752692,0.613482303416309,7080.5793490363,1.6140795921316495e-4,0,0,1.000008,0,0,0,0,0.08068227818645575
002.DC5C,3624,0,0,0,0,55.9302838025466,0,0,0,38.387978789444006,5.086434437299492,0,0,0,0,0,0.36725158392054097,0,0,0,0.2280513867893682,0,0,0,0,0,0,0,0,0.45516159334116546,0.6344951357746531,0.7880327884874035,56932.01197702049,6.742942403922833e-4,76244.39494161514,9.030272176587884e-4,0.999747,2.05e-4,2.9e-5,42.494786999999995,0.5063523045372611,0.27958205727582147
002.JC1,161,0,0,0,0.8242392487863184,11.473855700824403,0,0,0,50.01891132960564,35.79087835348631,0,1.8921153672973177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3907742779844623,0.4211745969939339,0.7047889785371105,19199.35295812993,0.0021688192350924,4405.080539070607,4.976117385884093e-4,0.99963900000000006,3.17e-4,9.3e-5,8.316045,0.9449634029425305,0.12902501317623832
002.S4,114,2.5912405501655673,15.373218254357855,31.98189916011389,41.00340060157623,6.597702585706763,1.2915145618936263,0,0,0,0,1.1610242861860602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6531550383683702,0.9951463020701964,0.6828980090599645,12780.667440099762,3.650539710057577e-4,10427.74702248764,2.9784754802859224e-4,0.999915,1.37e-4,0,2.015174,0.05790931786990916,0.11864955608327496
002.DD3,118,19.91069286005975,0,0,0,2.1213954030118005,0.4591655592150964,1.9041618193733627,10.87739634042804,50.023926567190145,10.241132084474112,1.2349195969110172,0,1.7766002382833497,0.4197323311773696,0.00645526152930758,1.024421938346639,0,0,0,0,0,0,0,0,0,0,0,0,0.39390775879590223,0.48703141667980215,0.7710847571044667,227706.0877263821,0.00319358017582237,91432.90662772246,0.00128234743717078,0.974914,0.022986,0.002133,2431.3810283333532,34.31842828177438,0.5166121966628472
002.DC73,118,6.1721285914754285,0,0,0,0,0.4842379055691789,0.15060454435923967,50.43622163319112,22.278664474336985,20.47814285106805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47287699597961214,0.6214605297054091,0.7458117255518357,154383.6881018941,0.00273423406127182,70228.57062737284,0.00124379299552075,0.988139,0.01126,5.87e-4,549.0724425999989,9.784668573540882,0.5669201696955674
002.DD5A2,118,0,0,0,0,0,0.10898368739792708,99.89101631260208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4247874695294757,0.6293152651239835,0.45204469246401047,5739.316213013696,0.01875598195346293,0,0,0.217004,0.739137,0.041421,677.7590489333323,2229.37251559197,0.5112557486642766
002.JC7,125,0,0.5171626496001812,5.370562436505099,0,10.775106813024994,7.079570836415896e-4,0,1.4654711631380906,66.45575445216511,12.472787899597526,0,2.107411248730102,0.8350353801552549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3618183079517017,0.35386564445233754,0.7588381354730586,45340.868221065255,0.00221468572294134,4498.651926700986,2.197377462198315e-4,0.998893,8.21e-4,1.93e-4,38.00740566666668,1.8676240543119396,0.11047772949799944
002.DC42,118,0.04823402332896283,0,0,0,3.490852519378528,0.32388127636736663,0,6.874537191149396,42.57399846466348,46.688496525112264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2843269287475531,0.14834048292322338,0.786782911337071,40740.57693002127,0.00138340792044123,5493.396020605852,1.8653657207849715e-4,0.99834,0.001203,4.4e-4,148.67992076862745,5.079169199604515,0.23378945010786364
002.DD6A,118,7.338197817919453,0,0,0,10.946169488180782,3.0463410761169016,0.48346789548090097,1.61382076846112,58.40064010162692,16.24735796203482,0,0,0,0,0,0,0,0,0,1.924004890179096,0,0,0,0,0,0,0,0,0.3344814740309816,0.2998880613408771,0.7842444219838833,96747.71619546258,0.0019375126868792,41058.83906668404,8.222625269986788e-4,0.989379,0.010416,1.98e-4,1084.746974800006,21.86663785023852,0.3433007966082349
002.JD2,125,0,0,0,0,4.534917705276391,1.045148995287721,0,0,73.2022676590344,21.217665640401485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3127442937739007,0.23623428458608775,0.7817688241352884,80856.9644803824,0.00161822025660926,6395.038322059999,1.2798626093687697e-4,0.999806,2.19e-4,4e-6,5.070182847058824,0.10208778047566422,0.0672433597272016
002.B7,113,5.457504008304793,0,0,0,0,6.040877544099313,0,45.35474492533487,43.140982468542575,0,0,0.00589105371844902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02468758676957733,0.00246245581812291,0.7053527598248739,26528.73293269234,0.00185787478592379,16051.24273305632,0.0011241094413423,0.982074,0.017325,5.22e-4,411.6519647882348,28.99786473879336,0.5929044305836959
002.DC21,118,9.747397816704748,0,0,0,0,0.6997334348819497,0,7.288334602691037,59.68234323432343,21.61049758822036,0,0,0,0.9716933231784716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3073075614360015,0.23948332465935,0.7874608536998818,36825.86338774183,0.0018692699731072,3101.0989835365517,1.574108705211709e-4,0.989355,0.007898,0.002773,66.79043605882353,3.41051251407522,0.41773855985036185
002.EB4,120,16.599962827581933,0,0,0,0,0.5658468083348822,0,0.2610329801953617,71.96704045598166,10.60611692790616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2906093255854048,0.2261176244859929,0.789531994274113,28416.375958386863,0.00200674068157236,634.1391106840769,4.478237313052838e-5,0.994061,0.004823,0.001128,56.736148,4.029727445857506,0.3496843973041848
002.EB32,120,13.867256435272852,0,0,0,4.175529523546234,0.7835995657256046,0.4687640491658738,7.159488479516233,60.05453928130004,12.786938486293382,0,0,0.7038841791797904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31194844553535095,0.29595800293188385,0.7843706531593175,92290.16287492563,0.00198148874664991,18156.847932513523,3.898312532145736e-4,0.988575,0.00848,0.002936,718.9916167137251,15.525857395343538,0.3628784555942442
002.DD62,118,16.79883176393575,0,0,0,2.8519059368548265,0.5136210282491566,3.94904073719724,5.7745102975980664,45.41698977793443,20.87698272823405,1.0604763583261998,0.6656931366131225,0,2.0919482350571528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3662536585261761,0.3828649364070002,0.7875439746892744,117080.557545337,0.00377069081767956,43825.6673019956,0.00141144733796064,0.964262,0.033672,0.00197,2644.1555910666284,85.71314239881298,0.5172185016754115
002.C2,113,13.677951874650253,4.6982839022570415,0,0,3.865416899832121,1.6512777466890505,0,11.184014176459616,61.633090841260966,0,0,0,0,0,0,3.2899645588509605,0,0,0,0,0,0,0,0,0,0,0,0,0.03110675367826881,0.00227271454291965,0.7658373845421484,19868.111360858216,0.0028478161422628,4346.677508141774,6.230354837492762e-4,0.98926,0.009113,0.001661,305.44953825490086,44.03946592852894,0.4423074826666443
002.EB31,120,16.661316999856503,1.992152982848339,0,0,5.177407538876343,0.6242117108612082,0.4108544110205654,0.6544215940244852,72.16272553565899,2.2479929308873396,0,0,0.06891629596622535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2697693460371463,0.2182443287961437,0.7889823495890413,62185.97979496586,0.00187839684929682,15429.745114988358,4.660726534342307e-4,0.992955,0.0058,0.001214,554.1230454666664,16.83356326591424,0.3359651025028912
002.DC33,118,0.00314540417133016,0,0,0,0,0.5376019962831807,0.646904791236904,85.80741214492974,8.704119693113398,4.300815970265446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43822215327864605,0.6101481800461251,0.7113887402622003,73039.02496924625,0.00287086807332003,14161.262630017149,5.56621844000992e-4,0.976915,0.017935,0.005078,1311.8497283294062,51.87454095899722,0.6762218878873961
002.DC22,118,22.66561884003856,0,0,0,0,0.8193020085273405,0,0.3093548919320244,53.17756319523441,23.028161064267668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3283860551303543,0.29101974107507184,0.7944051645412618,59644.42385867345,0.00207110784755279,3214.996447319909,1.1163833835793396e-4,0.994591,0.002439,0.002895,435.61402000000055,15.217512682987737,0.41141183319579383
002.LF0,126,0.5127345927073914,4.485257340531165,1.6830802512177754,42.9987458822312,8.835986527473557,0.02340691317020768,0,0,19.924950044719523,0,0,0,2.344140756856378,0,0,0.04558188354198338,0,0,0,0,19.146115807550824,0,0,0,0,0,0,0,0.5060791425416008,0.8566792552837362,0.4729114148736194,5736.590425664605,1.694630868838479e-4,1041.5978650372372,3.076956456768241e-5,0.999874,5.9e-5,1.4e-5,1.375678,0.04091558233021899,0.08735430538168402
002.EB2,120,0,0.9470914621298482,0,0,0.7085627225232721,2.298033961305938,0,17.69623918786772,62.11904285953547,13.422441691474017,1.4819577185522954,0,1.326630396611433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2956366194107754,0.24915185575921,0.7809373853785871,50953.10086342964,0.00151396378482355,11314.670245825531,3.3619153101818673e-4,0.996465,0.002748,7.78e-4,138.54932700000003,4.140251436090414,0.29168988959083264
002.DB32,118,25.748720419520847,0,0,0,0,0.0989216377699106,0.7525027174355787,8.756543375392486,27.77160972271683,26.51681784220486,0,10.354884284959487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2808211719159678,0.22004575562170284,0.7146338099039038,7747.728511221784,0.00228771831465451,557.470194096553,1.6460757124639802e-4,0.99548,0.004331,0,10.639677470588236,3.160159114467096,0.5781660394612336
002.DC41,118,10.242436889359745,0,0,0,0,0.9681958757370488,0,0,67.53855126435305,17.239451239740173,0,0,4.011364730809977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284657415830012,0.13484468612534176,0.7782961202493508,13209.042239795115,0.00155430449526052,726.8044097471784,8.55228820331742e-5,0.997431,2.38e-4,0.002213,0,0,0.20901535336361377
002.DC43,118,0.6114566437564909,0,0,0,1.673670856956153,0.1533642617927949,0,36.307988777736846,28.489578731710896,29.487279934786848,0,0,3.2766607932599743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2853093879964435,0.11344073082300024,0.7606078976422543,64112.759338004544,0.00269223657391628,12276.05760255078,5.154988118176185e-4,0.988617,0.008538,0.002862,861.9023011137169,36.41371611532527,0.459122832491089
002.DD4A0,118,11.838634488150218,0.4632779812661966,0,0,4.851244335702807,0.00492232855095333,0.7480491653757619,0.00752826719557569,57.59804844150391,11.338583817121018,11.528238240701866,0,1.621472934431688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3579332859856267,0.3671615708187928,0.7974618254085006,154957.25879842302,0.00224181749476213,66439.71714818498,9.612051826730216e-4,0.994223,0.00429,0.001446,1560.1144452706076,22.716898552672973,0.4014313410511472
002.DC5A0,118,0,0,0,0,0,1.3560131692872246,18.4714724251085,77.79352012441882,1.81091270325948,0.06134086794613946,0,0,0,0,0,0,0,0,0.5067407099798334,0,0,0,0,0,0,0,0,0,0.5390250792637409,0.829222661535163,0.6747903525593164,52891.2442558919,0.0068174708258624,1071.6952617033917,1.3813725284150328e-4,0.8487,0.14613399999999999,0.005336,2388.573150141219,309.7453058169915,0.7303789714775463
002.DD1A2,118,0,0,0,0,0,0,41.86701592361288,26.92376215216753,12.797634811415696,0,0,0,0,17.584348923097664,0.8272381897062293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48242849106149666,0.7024975798095278,0.6101561725579698,24056.57390297786,0.0118440621420128,709.6107279003778,3.4937117778232913e-4,0.673741,0.262786,0.06328,1065.080854666665,527.6772217438947,0.6105164276721866
002.DD5A1,118,0,0,0,0,0,0.09425577011359527,99.9057442298864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39532751246430087,0.47104032340665986,0.30481101639856534,7580.870774742107,0.02293851039053123,0,0,0.152026,0.571658,0.276302,809.0265344666682,2463.9841290899085,0.5086049749570735
002.DD42,118,25.79553179477135,0,0,0,2.9505363459344864,0.4786210551785323,0,0,50.42204836907053,15.233376732610523,3.9100828426910623,0,1.2098028597435218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3853393975636578,0.4456293557572491,0.7980034429742527,81571.90455486029,0.00281757611158819,47784.36661830636,0.00165052036759255,0.988861,0.009589,0.001532,937.5190619294092,32.592113037098166,0.4976707566205527
002.EB11A,120,2.4107378907447226,0,0,0,6.7287288177230415,0,0,0,76.94100196293584,13.919531328596396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24172399500204456,0.12090126563455936,0.8000042613896677,53269.087491578684,0.00164517712416212,16837.75538405514,5.200218604169708e-4,0.999527,2.51e-4,1.87e-4,0,0,0.16371573532809075
002.C4A,113,2.44090996402545,15.062119534156851,0,0,0,0.4470140175058752,0.48898827803560463,47.15748884836383,30.336956083540635,3.826297704221378,0.2402255701503722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06733307288782854,0.01402795953697586,0.7508888403188473,33968.30993330374,0.00222248587372966,20246.54854203945,0.00132469552399919,0.985127,0.012461,0.002309,452.77430799999826,29.798841135261984,0.5863525961945002
002.JD4,125,0.668148071798634,0,0.8633782706363474,0.3686334189233843,9.090128243605252,0.22645490455244083,0,0,78.67787118242605,10.105385908057894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3376920569549255,0.3173887070539899,0.7349403950816702,105576.03451757728,0.00149325382227387,46089.82544980784,6.518885496632542e-4,0.999101,8.78e-4,1e-6,25.046029800000007,0.35642520205824796,0.07343083387636748
002.R64,114,0,89.59117727861432,0,0,10.40882272138568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5601565037629573,0.9528501483503068,0.7612834887305963,3062.608303171807,0.00761295073421254,209.11379474106923,5.19809541285204e-4,0.993704,0.006999,0,6.045522,15.117380352602868,0.33754509728248805
002.JC8,125,0,0,0,0,0.00308504967786939,0,0,0,69.15550192901301,27.283836567779396,0,3.5575764535297254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33439460927470743,0.2578451550838413,0.7811547348084219,16509.65388150258,0.00205119988572392,5176.815176606813,6.431802129157266e-4,0.999713,8.4e-5,2.4e-5,2.021940352941177,0.25272398284722775,0.10489299761836478
002.JB1,161,24.037101784938812,0,0,24.360016479784427,0,0.03340496843230483,0,0,51.56947676684446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36786326455516327,0.33105304650050066,0.65390650028995,711.421474830365,0.00468661891439419,0,0,0.971532,0.024303,0.002991,5.134568960784314,34.03667943641215,0.41426893850652186
002.DC71,118,8.03646135032503,5.757492866490742,0,0,0,0.587307717062496,22.121387655274503,46.60273326038918,12.47425500418356,1.955546973890283,1.1928514728283024,0,0,1.271963699555899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46544439900995066,0.6325088949642357,0.6816409646638124,186071.8103969817,0.00648488921794772,31943.809160818975,0.00111329095560052,0.826157,0.162248,0.011578,16783.910609365954,588.5340812386869,0.6588666113402012
002.DC510,118,0,0,0,0,0,1.6989450547570888,12.09659141932256,86.20446352592035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5377638527814652,0.8162071836637393,0.6670497215604673,16807.61980341082,0.00640264822519046,248.61310954140865,9.470599068651932e-5,0.863161,0.129019,0.007698,406.8147050117644,155.91011281778088,0.7447515331386102
002.EB111,120,7.558405102608609,0,0,0,2.247063480858297,1.1344666926890847,0,11.513535809892394,74.2917888197726,3.254740094179007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1958846314044069,0.10433251740156362,0.8027741629114632,49452.0195558238,0.00219032101891445,27263.33529854988,0.0012075433296049,0.994523,0.004474,9.42e-4,241.23894224313707,10.745571541933224,0.3423791572684826
002.MBDB,244,0,0,24.288473483140333,69.7325766406589,5.4561001965472355,0.5228496796535322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6199681483032207,0.9929273798658136,0.5705455229084391,3526.216993920555,1.1239458045943115e-4,846.0097642983837,2.696570083090053e-5,0.999869,1.11e-4,1.2e-5,0,0,0.11615790155769362
002.DC13,118,6.9325551681673145,0,0,0,1.3296735541677354,0.5891689944618115,4.65535924290629,2.361527957801637,59.28588096937939,17.0336842932167,0,0,7.812149819899125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24508216018269985,0.07387388892337705,0.7658087706899169,85025.42570805977,0.00412438421312371,10324.574228362866,5.008209085702618e-4,0.984404,0.0129,0.002742,652.3272432352945,31.83048400007491,0.3996313106594487
002.DC14,118,13.6502040646501,0,0,0,0,0.4962610211932203,0,9.121254874667612,42.99617591545407,32.37460142145497,0,0,0,0,0,0,0,0,0,0,0,1.3615027025800277,0,0,0,0,0,0,0.29486118332880806,0.24788028497274608,0.7678052999779358,71023.42137665101,0.00255116960747238,27875.56320206861,0.00100129349239816,0.991336,0.007006,0.001662,193.32043499999983,6.985581215255395,0.4733821336961797
002.DC34,118,0,0,0,0,0,0.26713169534127,2.2948775402840833,96.05966136040372,1.3783294039709293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5437501480768022,0.8279229139536891,0.6834190157254508,78380.31300812901,0.00363391800010412,10210.91818951926,4.7340509347846535e-4,0.951654,0.040653,0.00766,2959.9460656705683,138.05922290044884,0.7411925484265525
